experiment_id,run_index,algorithm,eval_f1_reconstruction,eval_f2_security,eval_f3_robustness,eval_f4_complexity
IMG_0004,4,MO-BDA-EHHO-VC,0.3813652833860015,0.0010271348807791,0.0582681891093106,0.2013071895424836
IMG_0004,5,BEHHO-VC-Calibrated,0.4050641122525049,0.0017466466077924,0.0581616843299086,0.0078431372549019
IMG_0004,5,EHHO-VC,0.4050641122525049,0.0017466466077924,0.0581616843299086,0.0078431372549019
IMG_0004,5,HHO-VC,0.4050641122525049,0.0017466466077924,0.0581616843299086,0.0078431372549019
IMG_0004,5,BDA-EHHO-VC-Calibrated,0.395705660892954,0.0018124705537622,0.0580213570867776,0.0941176470588235
IMG_0004,5,MO-BDA-EHHO-VC,0.3771818044361674,0.0013172155171271,0.0577853194675624,0.0836601307189542
IMG_0005,1,HHO-VC,0.5273582603936493,0.0021007392883667,0.0580501421622917,0.665359477124183
IMG_0005,1,EHHO-VC,0.5275096444922572,0.0021613512730111,0.0580645347000487,0.661437908496732
IMG_0005,1,BDA-EHHO-VC-Calibrated,0.5258574996845324,0.0022209747665661,0.0580134411910112,0.4222222222222222
IMG_0005,1,BEHHO-VC-Calibrated,0.5255706140760414,0.0022482570467974,0.0581264226124039,0.065359477124183
IMG_0005,1,MO-BDA-EHHO-VC,0.5059354251170484,0.0019113837692844,0.0580328711169832,0.1032679738562091
IMG_0005,2,BEHHO-VC-Calibrated,0.5188042079693386,0.0019414362488099,0.0584869556832173,0.3385620915032679
IMG_0005,2,BDA-EHHO-VC-Calibrated,0.5207145803030203,0.0020304493753464,0.0584466565774977,0.3006535947712418
IMG_0005,2,HHO-VC,0.5284045216927968,0.0020043625273543,0.0584423388161705,0.611764705882353
IMG_0005,2,EHHO-VC,0.5284045216927968,0.0020043625273543,0.0584423388161705,0.611764705882353
IMG_0005,2,MO-BDA-EHHO-VC,0.5116984850857158,0.0015560820675101,0.058290497542834,0.0261437908496732
IMG_0005,3,BEHHO-VC-Calibrated,0.527058319906793,0.0020531141231742,0.058038628132086,0.2326797385620915
IMG_0005,3,BDA-EHHO-VC-Calibrated,0.5278822334299919,0.0018551482499739,0.0580530206698431,0.2104575163398692
IMG_0005,3,HHO-VC,0.5277517862407212,0.0021193362156557,0.057874553201656,0.0143790849673202
IMG_0005,3,EHHO-VC,0.5255149826845114,0.0021357093558993,0.0580299926094318,0.1032679738562091
IMG_0005,3,MO-BDA-EHHO-VC,0.5129113103777054,0.0015168173714759,0.0578803102167588,0.0915032679738562
IMG_0005,4,BEHHO-VC-Calibrated,0.5229110254901198,0.0018291811706146,0.0584552921001519,0.0941176470588235
IMG_0005,4,HHO-VC,0.5120649868265991,0.0019110678351993,0.058474002399236,0.0248366013071895
IMG_0005,4,BDA-EHHO-VC-Calibrated,0.5189411487329973,0.0016001295825824,0.0584991893403108,0.0549019607843137
IMG_0005,4,EHHO-VC,0.5120649868265991,0.0019110678351993,0.058474002399236,0.0248366013071895
IMG_0005,4,MO-BDA-EHHO-VC,0.5110793265776072,0.0015200669469913,0.058435142547292,0.0549019607843137
IMG_0005,5,EHHO-VC,0.5139226824720902,0.001023523056859,0.0581141889553104,0.2901960784313726
IMG_0005,5,BDA-EHHO-VC-Calibrated,0.5085597011882732,0.0010836796579485,0.0582257311229273,0.3516339869281046
IMG_0005,5,HHO-VC,0.5128798838482029,0.0011659062753438,0.0581955067936376,0.2954248366013072
IMG_0005,5,BEHHO-VC-Calibrated,0.5154237479643596,0.0009471360599483,0.0579918523843757,0.2666666666666666
IMG_0005,5,MO-BDA-EHHO-VC,0.502142051670019,0.0014865678834756,0.0581127497015347,0.0287581699346405
IMG_0006,1,EHHO-VC,0.4969198291730603,0.0023720445279002,0.0581998245549647,0.3411764705882353
IMG_0006,1,HHO-VC,0.4958530373421123,0.0026450769813353,0.0581760768676656,0.3084967320261438
IMG_0006,1,BEHHO-VC-Calibrated,0.5114254838106556,0.0024339958922586,0.0582919367966096,0.1320261437908496
IMG_0006,1,BDA-EHHO-VC-Calibrated,0.5118913533254531,0.0023618786026635,0.0582278900035909,0.2444444444444444
IMG_0006,1,MO-BDA-EHHO-VC,0.4934443276216929,0.0023364921914973,0.0580357496245346,0.0601307189542483
IMG_0006,2,BDA-EHHO-VC-Calibrated,0.5145844934567461,0.0027470123894668,0.0580112823103477,0.2797385620915033
IMG_0006,2,HHO-VC,0.517368416636491,0.0023668362127535,0.0581235441048525,0.0418300653594771
IMG_0006,2,EHHO-VC,0.517368416636491,0.0023668362127535,0.0581235441048525,0.0418300653594771
IMG_0006,2,BEHHO-VC-Calibrated,0.5117350165006171,0.0025572680126828,0.0580710113420393,0.2169934640522876
IMG_0006,2,MO-BDA-EHHO-VC,0.4962757377098374,0.0027587240743368,0.0582192544809367,0.2379084967320261
IMG_0006,3,HHO-VC,0.497144217302891,0.0021574580650155,0.0582214133616002,0.0588235294117647
IMG_0006,3,BDA-EHHO-VC-Calibrated,0.4886396667422656,0.0023133698434108,0.0580990767906655,0.2509803921568627
IMG_0006,3,EHHO-VC,0.497144217302891,0.0021574580650155,0.0582214133616002,0.0588235294117647
IMG_0006,3,BEHHO-VC-Calibrated,0.4905620526118752,0.0024757700118506,0.0582206937347124,0.2117647058823529
IMG_0006,3,MO-BDA-EHHO-VC,0.495514423259683,0.0021359491635135,0.0580609365656094,0.0588235294117647
