run_key,experiment_id,filename,run_index,seed,runtime_s,evaluations,budget_compliant,archive_size,mean_diversity,final_diversity,injection_count,bda_proposals,ehho_proposals,bda_fraction,cache_hit_rate
IMG_0021|r4,IMG_0021,148026.jpg,4,2105325627,63.82207620004192,600,True,30,0.9084537037037037,0.8516666666666667,0,277,293,0.48596491228070177,0.005
IMG_0021|r5,IMG_0021,148026.jpg,5,96481939,41.24202439998044,600,True,53,0.9038055555555558,0.8283333333333333,0,286,284,0.5017543859649123,0.0016666666666666668
IMG_0022|r1,IMG_0022,148089.jpg,1,13101029,41.07867279998027,600,True,39,0.9200740740740742,0.875,0,270,300,0.47368421052631576,0.0016666666666666668
IMG_0022|r2,IMG_0022,148089.jpg,2,927829402,42.57475159998285,600,True,69,0.9136851851851852,0.871851851851852,0,269,301,0.47192982456140353,0.0033333333333333335
IMG_0022|r3,IMG_0022,148089.jpg,3,545794602,44.89563220000127,600,True,30,0.9143055555555556,0.8887037037037037,0,283,287,0.4964912280701754,0.0
IMG_0022|r4,IMG_0022,148089.jpg,4,1593024124,49.622704500041436,600,True,65,0.9407037037037037,0.9466666666666667,0,279,291,0.48947368421052634,0.0
IMG_0022|r5,IMG_0022,148089.jpg,5,24502150,54.65403549995972,600,True,73,0.9361759259259259,0.909814814814815,0,277,293,0.48596491228070177,0.006666666666666667
IMG_0023|r1,IMG_0023,156065.jpg,1,2030976392,64.80847390001873,600,True,96,0.9475370370370368,0.9337037037037037,0,277,293,0.48596491228070177,0.0016666666666666668
IMG_0023|r2,IMG_0023,156065.jpg,2,1360257368,43.44628090003971,600,True,48,0.9249074074074073,0.9188888888888888,0,274,296,0.4807017543859649,0.0
IMG_0023|r3,IMG_0023,156065.jpg,3,1395816892,50.370773900009226,600,True,73,0.9428518518518517,0.9049999999999999,0,296,274,0.519298245614035,0.0
IMG_0023|r4,IMG_0023,156065.jpg,4,1784571770,42.65013750002254,600,True,61,0.9264629629629629,0.8742592592592593,0,258,312,0.45263157894736844,0.005
IMG_0023|r5,IMG_0023,156065.jpg,5,92505014,42.71382329997141,600,True,63,0.9196851851851852,0.9059259259259259,0,268,302,0.47017543859649125,0.0
IMG_0024|r1,IMG_0024,157055.jpg,1,1443789879,47.76054029999068,600,True,100,0.9453703703703702,0.9446296296296296,0,280,290,0.49122807017543857,0.0
IMG_0024|r2,IMG_0024,157055.jpg,2,1206228818,48.248712999979034,600,True,100,0.9508425925925925,0.9485185185185184,0,269,301,0.47192982456140353,0.0033333333333333335
IMG_0024|r3,IMG_0024,157055.jpg,3,1707194698,86.01874169998337,600,True,99,0.9248333333333332,0.9457407407407405,0,278,292,0.48771929824561405,0.0
IMG_0024|r4,IMG_0024,157055.jpg,4,1011539013,88.22195969999302,600,True,100,0.9360462962962963,0.9248148148148148,0,296,274,0.519298245614035,0.0033333333333333335
IMG_0024|r5,IMG_0024,157055.jpg,5,1392954278,75.28311770001892,600,True,100,0.9478240740740741,0.9337037037037037,0,283,287,0.4964912280701754,0.0
IMG_0025|r1,IMG_0025,159008.jpg,1,956045049,72.59130910004023,600,True,31,0.9303796296296298,0.9064814814814816,0,273,297,0.4789473684210526,0.0016666666666666668
IMG_0025|r2,IMG_0025,159008.jpg,2,1048981024,74.00339899997925,600,True,37,0.9394722222222225,0.8722222222222221,0,280,290,0.49122807017543857,0.0016666666666666668
IMG_0025|r3,IMG_0025,159008.jpg,3,196207815,68.38324550003745,600,True,40,0.9277777777777778,0.9068518518518518,0,265,305,0.4649122807017544,0.0
IMG_0025|r4,IMG_0025,159008.jpg,4,1789170608,43.535326200013515,600,True,29,0.9267962962962963,0.899074074074074,0,302,268,0.5298245614035088,0.0
IMG_0025|r5,IMG_0025,159008.jpg,5,1994276647,36.347943699976895,600,True,28,0.911712962962963,0.8864814814814815,0,279,291,0.48947368421052634,0.0
IMG_0026|r1,IMG_0026,160068.jpg,1,850340831,48.501097800035495,600,True,100,0.9416018518518519,0.9481481481481482,0,263,307,0.4614035087719298,0.0
IMG_0026|r2,IMG_0026,160068.jpg,2,1641841146,44.95606909994967,600,True,42,0.9047777777777778,0.8611111111111112,0,275,295,0.4824561403508772,0.0033333333333333335
IMG_0026|r3,IMG_0026,160068.jpg,3,1971917165,46.373259000014514,600,True,45,0.8610833333333335,0.8101851851851851,0,273,297,0.4789473684210526,0.005
IMG_0026|r4,IMG_0026,160068.jpg,4,844014402,56.226794499962125,600,True,56,0.9127777777777777,0.8909259259259259,0,284,286,0.4982456140350877,0.0033333333333333335
IMG_0026|r5,IMG_0026,160068.jpg,5,216480577,50.93568300001789,600,True,63,0.9252314814814815,0.8822222222222221,0,295,275,0.5175438596491229,0.0
IMG_0027|r1,IMG_0027,16077.jpg,1,2028620502,57.628234200004954,600,True,79,0.9290185185185184,0.8790740740740741,0,281,289,0.49298245614035086,0.0016666666666666668
IMG_0027|r2,IMG_0027,16077.jpg,2,1095503581,97.86280729999999,600,True,57,0.9344722222222221,0.8796296296296297,0,288,282,0.5052631578947369,0.0
IMG_0027|r3,IMG_0027,16077.jpg,3,2133940673,129.50975569995353,600,True,53,0.9169259259259258,0.8783333333333333,0,280,290,0.49122807017543857,0.0016666666666666668
IMG_0027|r4,IMG_0027,16077.jpg,4,560514351,78.9402362999972,600,True,100,0.9513333333333331,0.9444444444444443,0,269,301,0.47192982456140353,0.0
IMG_0027|r5,IMG_0027,16077.jpg,5,653416824,50.592551600013394,600,True,56,0.9448611111111109,0.9555555555555554,0,299,271,0.5245614035087719,0.006666666666666667
IMG_0028|r1,IMG_0028,163085.jpg,1,1772643205,51.6934639000101,600,True,54,0.937824074074074,0.9120370370370371,0,296,274,0.519298245614035,0.0
IMG_0028|r2,IMG_0028,163085.jpg,2,2007091365,52.814239599974826,600,True,74,0.9379166666666666,0.9199999999999999,0,270,300,0.47368421052631576,0.0
IMG_0028|r3,IMG_0028,163085.jpg,3,1491737309,57.12098710000282,600,True,100,0.947046296296296,0.9418518518518519,0,272,298,0.47719298245614034,0.0
IMG_0028|r4,IMG_0028,163085.jpg,4,1216040989,49.05938990000868,600,True,51,0.9276481481481481,0.9109259259259259,0,273,297,0.4789473684210526,0.0033333333333333335
IMG_0028|r5,IMG_0028,163085.jpg,5,1964589382,53.56099459994584,600,True,86,0.9501574074074075,0.9427777777777777,0,269,301,0.47192982456140353,0.005
IMG_0029|r1,IMG_0029,167062.jpg,1,1345611638,52.24839029996656,600,True,88,0.9398981481481481,0.9412962962962963,0,282,288,0.49473684210526314,0.0
IMG_0029|r2,IMG_0029,167062.jpg,2,1444320952,56.30794020002941,600,True,100,0.9476666666666664,0.9331481481481482,0,293,277,0.5140350877192983,0.0
IMG_0029|r3,IMG_0029,167062.jpg,3,917029624,46.59973399998853,600,True,31,0.8903055555555556,0.8712962962962963,0,302,268,0.5298245614035088,0.008333333333333333
IMG_0029|r4,IMG_0029,167062.jpg,4,293497558,45.513448200013954,600,True,26,0.8951203703703705,0.8783333333333333,0,272,298,0.47719298245614034,0.005
IMG_0029|r5,IMG_0029,167062.jpg,5,1332123980,46.38689560000785,600,True,40,0.905787037037037,0.8375925925925927,0,276,294,0.4842105263157895,0.0
IMG_0030|r1,IMG_0030,167083.jpg,1,382640578,64.9815347000258,600,True,48,0.9399629629629629,0.9629629629629629,0,276,294,0.4842105263157895,0.0033333333333333335
IMG_0030|r2,IMG_0030,167083.jpg,2,88283874,160.6922233000514,600,True,100,0.9428888888888889,0.9051851851851852,0,259,311,0.4543859649122807,0.0016666666666666668
IMG_0030|r3,IMG_0030,167083.jpg,3,1554252397,149.59883639996406,600,True,100,0.9504629629629628,0.9327777777777778,0,300,270,0.5263157894736842,0.0033333333333333335
IMG_0030|r4,IMG_0030,167083.jpg,4,589602528,164.21845509996638,600,True,76,0.9365277777777778,0.9438888888888887,0,279,291,0.48947368421052634,0.008333333333333333
IMG_0030|r5,IMG_0030,167083.jpg,5,388138568,173.48886629997287,600,True,100,0.9480000000000001,0.87,0,290,280,0.5087719298245614,0.006666666666666667
IMG_0031|r1,IMG_0031,170057.jpg,1,1251486396,196.60296729998663,600,True,100,0.9574999999999999,0.9190740740740742,0,283,287,0.4964912280701754,0.0
IMG_0031|r2,IMG_0031,170057.jpg,2,51008313,200.89484180003637,600,True,100,0.9428240740740741,0.895,0,275,295,0.4824561403508772,0.0016666666666666668
IMG_0031|r3,IMG_0031,170057.jpg,3,680997215,155.66670239996165,600,True,100,0.9460185185185186,0.8672222222222222,0,264,306,0.4631578947368421,0.0016666666666666668
IMG_0031|r4,IMG_0031,170057.jpg,4,1625647424,195.3759198000189,600,True,100,0.9495555555555555,0.945,0,292,278,0.512280701754386,0.0
IMG_0031|r5,IMG_0031,170057.jpg,5,530680949,191.82115289999638,600,True,100,0.9420462962962963,0.9112962962962964,0,264,306,0.4631578947368421,0.0
IMG_0032|r1,IMG_0032,175032.jpg,1,1536327930,144.30115710000973,600,True,100,0.9390925925925926,0.9487037037037037,0,270,300,0.47368421052631576,0.0016666666666666668
IMG_0032|r2,IMG_0032,175032.jpg,2,1951597827,198.730692800018,600,True,100,0.9473240740740738,0.9409259259259258,0,282,288,0.49473684210526314,0.0
IMG_0032|r3,IMG_0032,175032.jpg,3,2067684248,145.1180656000506,600,True,100,0.9520740740740742,0.9425925925925925,0,279,291,0.48947368421052634,0.0016666666666666668
IMG_0032|r4,IMG_0032,175032.jpg,4,2066036384,148.35844240000006,600,True,100,0.9524722222222222,0.9383333333333334,0,273,297,0.4789473684210526,0.0016666666666666668
IMG_0032|r5,IMG_0032,175032.jpg,5,1367102545,113.58173330000136,600,True,100,0.9461203703703704,0.918888888888889,0,277,293,0.48596491228070177,0.0033333333333333335
IMG_0033|r1,IMG_0033,175043.jpg,1,645161760,105.87573130003875,600,True,100,0.9427870370370369,0.9016666666666667,0,284,286,0.4982456140350877,0.0
IMG_0033|r2,IMG_0033,175043.jpg,2,1283842141,94.68104310001945,600,True,100,0.9556944444444444,0.9392592592592592,0,245,325,0.4298245614035088,0.005
IMG_0033|r3,IMG_0033,175043.jpg,3,1318904071,59.55311940005049,600,True,100,0.9463055555555556,0.9035185185185185,0,269,301,0.47192982456140353,0.0016666666666666668
IMG_0033|r4,IMG_0033,175043.jpg,4,22767796,62.39182509999955,600,True,100,0.9467777777777776,0.8861111111111111,0,278,292,0.48771929824561405,0.005
IMG_0033|r5,IMG_0033,175043.jpg,5,189745097,109.029823400022,600,True,100,0.9523703703703703,0.8894444444444445,0,267,303,0.46842105263157896,0.0016666666666666668
IMG_0034|r1,IMG_0034,182053.jpg,1,2005345627,100.85275959997671,600,True,100,0.9543518518518519,0.917962962962963,0,281,289,0.49298245614035086,0.0016666666666666668
IMG_0034|r2,IMG_0034,182053.jpg,2,1355268047,72.42628590000095,600,True,100,0.955111111111111,0.9531481481481482,0,302,268,0.5298245614035088,0.0016666666666666668
IMG_0034|r3,IMG_0034,182053.jpg,3,635393737,62.862203099997714,600,True,98,0.9463796296296296,0.9372222222222222,0,275,295,0.4824561403508772,0.0016666666666666668
IMG_0034|r4,IMG_0034,182053.jpg,4,1551224340,63.7456591000082,600,True,98,0.9413518518518519,0.9064814814814813,0,270,300,0.47368421052631576,0.0
IMG_0034|r5,IMG_0034,182053.jpg,5,720886206,64.26736330002313,600,True,100,0.9384907407407406,0.9027777777777778,0,264,306,0.4631578947368421,0.006666666666666667
IMG_0035|r1,IMG_0035,189080.jpg,1,1096354664,55.47413789998973,600,True,91,0.9475185185185184,0.9111111111111111,0,276,294,0.4842105263157895,0.0033333333333333335
IMG_0035|r2,IMG_0035,189080.jpg,2,954051291,61.70039559999714,600,True,98,0.9486296296296297,0.9259259259259259,0,282,288,0.49473684210526314,0.0033333333333333335
IMG_0035|r3,IMG_0035,189080.jpg,3,1561437841,52.30188530002488,600,True,45,0.9123703703703704,0.9109259259259259,0,277,293,0.48596491228070177,0.0016666666666666668
IMG_0035|r4,IMG_0035,189080.jpg,4,1342907675,50.93791559996316,600,True,37,0.9306296296296296,0.8935185185185185,0,295,275,0.5175438596491229,0.0016666666666666668
