run_key,mechanism,variant,experiment_id,filename,run_index,population_size,evaluation_budget,seed,best_score,level_R,level_G,level_B,evaluations,runtime_s,diversity_threshold,injection_fraction,injection_count,mean_diversity,final_diversity,rho_max,rho_min,bda_proposals,ehho_proposals,bda_fraction
BEHHO|IMG_0063|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0063,302008.jpg,1,20,400,827430056,4.040902448304643,253,223,255,400,58.98621880001156,0.7,0.2,4,0.7890625,0.6270833333333333,,,,,
BEHHO|IMG_0063|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0063,302008.jpg,1,20,400,827430056,4.040863558910483,255,222,255,400,59.234249000030104,0.7,0.3,2,0.7971041666666667,0.78125,,,,,
BEHHO|IMG_0063|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0063,302008.jpg,1,20,400,827430056,4.040586900695874,247,223,207,400,58.45897790003801,0.75,0.2,3,0.8577291666666668,0.8779166666666667,,,,,
BEHHO|IMG_0063|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0063,302008.jpg,1,20,400,827430056,4.040492182874193,35,217,39,400,62.62352279998595,0.75,0.3,2,0.86625,0.9129166666666667,,,,,
BEHHO|IMG_0063|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0063,302008.jpg,1,20,400,827430056,4.040583848699277,254,235,191,400,59.449383199971635,0.8,0.2,10,0.7762291666666667,0.6241666666666666,,,,,
BEHHO|IMG_0063|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0063,302008.jpg,1,20,400,827430056,4.040587924685435,19,236,202,400,60.438540900009684,0.8,0.3,10,0.7722291666666667,0.8275,,,,,
HYBRID|IMG_0063|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0063,302008.jpg,1,20,400,827430056,4.041162319552701,19,174,132,400,59.78015839995351,,,,,,0.8,0.2,97,103,0.485
HYBRID|IMG_0063|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0063,302008.jpg,1,20,400,827430056,4.041162319552701,19,174,132,400,61.340552799985744,,,,,,0.7,0.3,106,94,0.53
HYBRID|IMG_0063|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0063,302008.jpg,1,20,400,827430056,4.039397635866063,21,224,5,400,60.931489299982786,,,,,,0.65,0.35,107,93,0.535
BEHHO|IMG_0063|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0063,302008.jpg,2,20,400,1987326251,4.0370148474444045,6,8,33,400,60.57875129999593,0.7,0.2,1,0.8851875000000001,0.9083333333333333,,,,,
BEHHO|IMG_0063|r2|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0063,302008.jpg,2,20,400,1987326251,4.036815542782297,32,6,100,400,59.22191699995892,0.7,0.3,4,0.8359375,0.7804166666666665,,,,,
BEHHO|IMG_0063|r2|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0063,302008.jpg,2,20,400,1987326251,4.0370148474444045,6,8,33,400,61.258733799972106,0.75,0.2,1,0.8851875000000001,0.9083333333333333,,,,,
BEHHO|IMG_0063|r2|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0063,302008.jpg,2,20,400,1987326251,4.036815542782297,32,6,100,400,57.92643859999953,0.75,0.3,4,0.8359375,0.7804166666666665,,,,,
BEHHO|IMG_0063|r2|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0063,302008.jpg,2,20,400,1987326251,4.0370148474444045,6,8,33,400,59.43895209999755,0.8,0.2,1,0.8851875000000001,0.9083333333333333,,,,,
BEHHO|IMG_0063|r2|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0063,302008.jpg,2,20,400,1987326251,4.036815542782297,32,6,100,400,58.00526019994868,0.8,0.3,4,0.8359375,0.7804166666666665,,,,,
HYBRID|IMG_0063|r2|balanced_80_20,HYBRID,balanced_80_20,IMG_0063,302008.jpg,2,20,400,1987326251,4.036149998985399,159,8,135,400,62.21948729996802,,,,,,0.8,0.2,103,97,0.515
HYBRID|IMG_0063|r2|balanced_70_30,HYBRID,balanced_70_30,IMG_0063,302008.jpg,2,20,400,1987326251,4.036256925553205,154,6,153,400,61.78086680005072,,,,,,0.7,0.3,93,107,0.465
HYBRID|IMG_0063|r2|balanced_65_35,HYBRID,balanced_65_35,IMG_0063,302008.jpg,2,20,400,1987326251,4.036447474588372,179,6,125,400,61.567310499958694,,,,,,0.65,0.35,104,96,0.52
BEHHO|IMG_0065|r1|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0065,304074.jpg,1,20,400,839736107,5.2436614062070115,213,255,251,400,54.57879719999619,0.7,0.2,2,0.8183958333333333,0.8983333333333334,,,,,
BEHHO|IMG_0065|r1|thr0.70_frac0.30,BEHHO,thr0.70_frac0.30,IMG_0065,304074.jpg,1,20,400,839736107,5.243703004034843,211,238,255,400,55.342967799981125,0.7,0.3,3,0.7884583333333334,0.5991666666666666,,,,,
BEHHO|IMG_0065|r1|thr0.75_frac0.20,BEHHO,thr0.75_frac0.20,IMG_0065,304074.jpg,1,20,400,839736107,5.2436614062070115,213,255,251,400,51.84393740002997,0.75,0.2,7,0.7809375,0.7191666666666666,,,,,
BEHHO|IMG_0065|r1|thr0.75_frac0.30,BEHHO,thr0.75_frac0.30,IMG_0065,304074.jpg,1,20,400,839736107,5.243703004034843,211,238,255,400,54.9247941999929,0.75,0.3,6,0.8021666666666667,0.76125,,,,,
BEHHO|IMG_0065|r1|thr0.80_frac0.20,BEHHO,thr0.80_frac0.20,IMG_0065,304074.jpg,1,20,400,839736107,5.2436614062070115,213,255,251,400,60.68621019995771,0.8,0.2,9,0.8048125,0.88125,,,,,
BEHHO|IMG_0065|r1|thr0.80_frac0.30,BEHHO,thr0.80_frac0.30,IMG_0065,304074.jpg,1,20,400,839736107,5.243687460326018,219,237,251,400,63.09709200001089,0.8,0.3,5,0.8575625,0.8741666666666666,,,,,
HYBRID|IMG_0065|r1|balanced_80_20,HYBRID,balanced_80_20,IMG_0065,304074.jpg,1,20,400,839736107,5.243721624313641,220,242,236,400,63.46936819999246,,,,,,0.8,0.2,100,100,0.5
HYBRID|IMG_0065|r1|balanced_70_30,HYBRID,balanced_70_30,IMG_0065,304074.jpg,1,20,400,839736107,5.243774728632557,217,239,175,400,62.967960900045,,,,,,0.7,0.3,104,96,0.52
HYBRID|IMG_0065|r1|balanced_65_35,HYBRID,balanced_65_35,IMG_0065,304074.jpg,1,20,400,839736107,5.243752189640248,217,239,239,400,64.96236070001032,,,,,,0.65,0.35,107,93,0.535
BEHHO|IMG_0065|r2|thr0.70_frac0.20,BEHHO,thr0.70_frac0.20,IMG_0065,304074.jpg,2,20,400,1234979416,5.243292235229041,3,10,231,400,61.139951699995436,0.7,0.2,0,0.867,0.8454166666666666,,,,,
