experiment_id,run_index,algorithm,set_size,hypervolume,igd,epsilon_additive,mean_nn_distance,reference_front_size
IMG_0007,2,BDA-EHHO-VC-Calibrated,1,0.005974045979146146,1.1310835651369062,0.8849557522123894,0.0,30
IMG_0007,2,MO-BDA-EHHO-VC,30,1.0959836957630391,0.0,0.0,0.16833057802775628,30
IMG_0007,3,HHO-VC,1,0.003777108420308629,1.1834495231453521,1.0,0.0,27
IMG_0007,3,EHHO-VC,1,0.003823324388373521,1.1697470162156287,0.9948717948717949,0.0,27
IMG_0007,3,BEHHO-VC-Calibrated,1,0.008114062773792596,1.0462741512851734,1.0,0.0,27
IMG_0007,3,BDA-EHHO-VC-Calibrated,1,0.013364608484657868,0.9410048975210229,0.9918367346938872,0.0,27
IMG_0007,3,MO-BDA-EHHO-VC,27,0.9919958442232923,0.0,0.0,0.18925727886393226,27
IMG_0007,4,HHO-VC,1,0.17355953953130113,0.7416928129612027,0.6622691292874173,0.0,18
IMG_0007,4,EHHO-VC,1,0.008027188667599577,1.0595251490990405,1.0,0.0,18
IMG_0007,4,BEHHO-VC-Calibrated,1,0.08930013916821165,0.8312101537294566,0.7127021416089666,0.0,18
IMG_0007,4,BDA-EHHO-VC-Calibrated,1,0.07819824354431339,0.7994615394969246,0.9313984168866458,0.0,18
IMG_0007,4,MO-BDA-EHHO-VC,18,1.1973943822186135,0.0,0.0,0.3160448608740832,18
IMG_0007,5,HHO-VC,1,0.1137716077982791,0.5876681107095445,0.7110760682243658,0.0,25
IMG_0007,5,EHHO-VC,1,0.07575667412469884,0.7107794434578856,0.9088683978056611,0.0,25
IMG_0007,5,BEHHO-VC-Calibrated,1,0.17397732314095093,0.6533765823259869,0.6138625213811768,0.0,25
IMG_0007,5,BDA-EHHO-VC-Calibrated,1,0.039764811683327066,0.6384272337946594,1.0,0.0,25
IMG_0007,5,MO-BDA-EHHO-VC,23,0.6568765497870886,0.02271965656576671,0.10000000000000007,0.27088294310707933,25
IMG_0008,1,HHO-VC,1,0.13052510897054936,0.5910021911962103,0.6815286624203822,0.0,29
IMG_0008,1,EHHO-VC,1,0.15895594900168314,0.5895020129545646,0.6496815286624205,0.0,29
IMG_0008,1,BEHHO-VC-Calibrated,1,0.05175658364171608,0.744168326308796,0.8510904163606049,0.0,29
