experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity,B1_central_5pct,B1_central_10pct,B1_central_20pct,B2_random_block_5pct,B2_random_block_10pct,B2_random_block_20pct,B3_dropout_5pct,B3_dropout_10pct,B3_dropout_20pct,B4_crop_5pct,B4_crop_10pct,B4_crop_20pct,B1_central_mean,B1_central_max,B2_random_block_mean,B2_random_block_max,B3_dropout_mean,B3_dropout_max,B4_crop_mean,B4_crop_max
IMG_0090,1,IMG_0090_r1_archive.csv,21,101111111101111000101100,191,222,44,0.3644407406983267,0.3498614430457874,0.0,0.5973856209150327,0.024902688454090324,0.04991547982202188,0.09966688471361368,0.024919959499398753,0.04966073190372256,0.09927828619417405,0.024829286511529505,0.04949665697329249,0.09968415575892212,0.024686800387734967,0.04991332094135832,0.10081540922662419,0.058161684329908626,0.09966688471361368,0.05795299253243178,0.09927828619417405,0.05800336641458137,0.09968415575892212,0.058471843518572486,0.10081540922662419
IMG_0090,1,IMG_0090_r1_archive.csv,22,111110111101010100100110,251,213,38,0.3641352040541425,0.3498072741309688,0.0,0.6562091503267974,0.02493938942537073,0.04996945183861072,0.0996755202362679,0.02495666047067916,0.049656414142395446,0.0990990990990991,0.02472997800100604,0.04946211488267563,0.09959995941304353,0.024643622774463896,0.04980969466950775,0.100647016534867,0.058194787166749785,0.0996755202362679,0.0579040579040579,0.0990990990990991,0.0579306840989084,0.09959995941304353,0.05836677799294621,0.100647016534867
IMG_0090,1,IMG_0090_r1_archive.csv,28,101101000010011110101101,180,39,173,0.3666839785655338,0.3496269691938465,0.0,0.5124183006535947,0.025027903532576428,0.04999535840657336,0.09956541732242667,0.024965295993333376,0.04975788153358247,0.09947258545389387,0.024751566807641574,0.049423255030731666,0.09972085673020252,0.02474509016565091,0.049682320710358094,0.1003123900320162,0.058196226420525486,0.09956541732242667,0.05806525432693657,0.09947258545389387,0.057965226189525244,0.09972085673020252,0.05824660030267507,0.1003123900320162
IMG_0090,1,IMG_0090_r1_archive.csv,31,000000100100000000000000,2,64,2,0.3846938182356264,0.3493249868100777,0.0,0.0888888888888888,0.024919959499398753,0.050053648184489305,0.09984823068935218,0.02515095973039898,0.04991116206069477,0.09981584747939888,0.024710548075034054,0.04953767570590001,0.0995503051577818,0.024768837852950004,0.0495981243644795,0.10029943674803488,0.05827394612441341,0.09984823068935218,0.05829265642349755,0.09981584747939888,0.05793284297957196,0.0995503051577818,0.05822213298848813,0.10029943674803488
IMG_0090,1,IMG_0090_r1_archive.csv,33,100111011011011000111100,157,182,60,0.3653009149504746,0.3499806915602669,0.0,0.5215686274509804,0.024878940766791233,0.04990900318003122,0.09963450150366038,0.024889735170109,0.049697432875002966,0.09931066940412735,0.024818492108211736,0.0494448438373672,0.09959995941304353,0.024650099416454557,0.04984855452145172,0.10075280168738113,0.058140815150160945,0.09963450150366038,0.0579659458164131,0.09931066940412735,0.05795443178620749,0.09959995941304353,0.0584171518750958,0.10075280168738113
IMG_0090,1,IMG_0090_r1_archive.csv,34,000011000100000000011100,12,64,28,0.3712040735749087,0.3495264527073436,0.0,0.1359477124183006,0.024889735170109,0.04994138638998452,0.09972085673020252,0.02500415584527734,0.04980537690818065,0.09945747328924899,0.024768837852950004,0.04926565674229225,0.09946610881190321,0.024673847103753647,0.04956790003518975,0.1002800068220629,0.05818399276343202,0.09972085673020252,0.05808900201423566,0.09945747328924899,0.057833534469048486,0.09946610881190321,0.05817391798700209,0.1002800068220629
IMG_0090,1,IMG_0090_r1_archive.csv,37,100011111100100101000001,143,201,65,0.365263502818505,0.349741287334023,0.0,0.534640522875817,0.024878940766791233,0.04988309661206858,0.0996193893390155,0.024855193079492143,0.049643460858414125,0.09931714604611802,0.02478610889825843,0.04946643264400274,0.09952871635114625,0.02469543591038918,0.04990684429936766,0.1007074651934465,0.058127142239291774,0.0996193893390155,0.057938599994674767,0.09931714604611802,0.05792708596446914,0.09952871635114625,0.05843658180106778,0.1007074651934465
IMG_0090,1,IMG_0090_r1_archive.csv,43,100100000001111101100000,144,31,96,0.3679520881349078,0.3496593753048531,0.0,0.3542483660130718,0.02498040815797825,0.04995002191263874,0.09968415575892212,0.025006314725940892,0.049706068397657184,0.09942077231796857,0.024691118149062077,0.049425413911395225,0.09952439858981915,0.02469543591038918,0.04971254503964784,0.10040953966187612,0.0582048619431797,0.09968415575892212,0.05804438514718888,0.09942077231796857,0.057880310216758823,0.09952439858981915,0.05827250687063771,0.10040953966187612
IMG_0090,1,IMG_0090_r1_archive.csv,44,011110100001111100010001,122,31,17,0.36931389312508,0.3495803619590686,0.0,0.2222222222222222,0.02492427726072586,0.04999319952590981,0.09981368859873532,0.024963137112669825,0.04987230220875081,0.09948553873787519,0.02474509016565091,0.04937791853679704,0.09944883776659477,0.024693277029725628,0.04966073190372256,0.10032102555467041,0.05824372179512366,0.09981368859873532,0.058106992686431935,0.09948553873787519,0.05785728215634758,0.09944883776659477,0.058225011496039536,0.10032102555467041
IMG_0090,1,IMG_0090_r1_archive.csv,45,101010100100001000011000,170,66,24,0.3681066385918222,0.3496728152932264,0.0,0.3398692810457516,0.024963137112669825,0.04994786303197518,0.09972733337219318,0.024898370692763218,0.04972333944296561,0.09943156672128635,0.024734295762333144,0.04945563824068497,0.09955678179977245,0.024684641507071416,0.049751404891591806,0.10056497906965198,0.058212777838946066,0.09972733337219318,0.058017758952338384,0.09943156672128635,0.05791557193426352,0.09955678179977245,0.05833367515610507,0.10056497906965198
