experiment_id,algorithm,median_score,mean_score,sd_across_runs,median_runtime_s
IMG_0048,BEHHO-VC-Calibrated,5.51758653779509,5.517621463543166,0.0009716252748156245,33.64618599996902
IMG_0048,EHHO-VC,5.517074117840958,5.517588983952348,0.0013026319045947136,16.768267999985255
IMG_0048,HHO-VC,5.517110075733707,5.5175701204389345,0.0012071732545305173,16.40793499996653
IMG_0049,BDA-EHHO-VC-Calibrated,4.595464975715667,4.596346993595008,0.0035116752135838183,28.36004670005059
IMG_0049,BEHHO-VC-Calibrated,4.594414906187012,4.595789581102389,0.0031475287787833153,27.212383700010832
IMG_0049,EHHO-VC,4.594508319170692,4.595447839493852,0.0031900878424053,15.686717700038573
IMG_0049,HHO-VC,4.595087660384076,4.596136056057763,0.0031963174615669515,15.911735199973918
IMG_0050,BDA-EHHO-VC-Calibrated,4.6228330231127215,4.622568806075089,0.0019888548370511475,19.819706599984784
IMG_0050,BEHHO-VC-Calibrated,4.621575386347584,4.622398004730393,0.0019959080168177566,23.661588300019503
IMG_0050,EHHO-VC,4.621256237445459,4.622079719048365,0.002036094192890439,11.349526299978606
IMG_0050,HHO-VC,4.6221200841137176,4.622288363485678,0.0020318992004844352,11.138017299992498
IMG_0051,BDA-EHHO-VC-Calibrated,4.915998907052242,4.917001705145891,0.0032689785402787224,24.63507939997362
IMG_0051,BEHHO-VC-Calibrated,4.916244811276495,4.917220904691119,0.003349375522609464,20.648773699998856
IMG_0051,EHHO-VC,4.915576439372397,4.9166843775654,0.0033901943870860755,11.631300600012764
IMG_0051,HHO-VC,4.915576439372397,4.9166601007404545,0.0032871968137497417,12.186438000004271
IMG_0052,BDA-EHHO-VC-Calibrated,5.371151738697151,5.369716307315443,0.0031837471006967186,22.79988770000637
IMG_0052,BEHHO-VC-Calibrated,5.371365466014043,5.369669184479795,0.0031306311811597474,24.50422719999915
IMG_0052,EHHO-VC,5.370805771184796,5.369899920532122,0.003016445033852255,16.53246840002248
IMG_0052,HHO-VC,5.370989389911055,5.369976388829623,0.003076935850455643,20.8019123999984
IMG_0053,BDA-EHHO-VC-Calibrated,4.587200327087151,4.585381672958309,0.003916798881507018,19.965333500003908
IMG_0053,BEHHO-VC-Calibrated,4.586655289569433,4.585005108613741,0.0037764357414871875,22.27575380000053
IMG_0053,EHHO-VC,4.585661352521304,4.5847952591646735,0.003312355877324666,10.342067299992776
IMG_0053,HHO-VC,4.585801634345814,4.584788301721228,0.0032600420045716663,9.025751000037417
IMG_0054,BDA-EHHO-VC-Calibrated,5.4489991891729455,5.449049637825786,0.0028108368295278116,20.294353000004776
IMG_0054,BEHHO-VC-Calibrated,5.449429562121232,5.448809952885774,0.0018805618048945987,21.33560649998253
IMG_0054,EHHO-VC,5.448953658416186,5.448619775124362,0.0022428870443768636,14.610564999980852
IMG_0054,HHO-VC,5.4499316418969,5.448846619843126,0.002275921696529741,9.643769400019664
IMG_0055,BDA-EHHO-VC-Calibrated,5.211619953898549,5.211626522844888,0.0013871472662426753,21.834811499982607
IMG_0055,BEHHO-VC-Calibrated,5.212396438398577,5.2119571190511875,0.0015972424017353306,20.732560799981
IMG_0055,EHHO-VC,5.211945305109265,5.211913497835207,0.0013988508360261,8.949095599993598
IMG_0055,HHO-VC,5.211362843247021,5.211592476993387,0.001634541442428257,9.364767400023991
IMG_0056,BDA-EHHO-VC-Calibrated,4.944118371276773,4.9445576310848285,0.002808719129550603,24.054501399979927
IMG_0056,BEHHO-VC-Calibrated,4.945158937343081,4.944927188928146,0.0026553641807720817,27.29375130002154
IMG_0056,EHHO-VC,4.943885410144152,4.944558317025477,0.003002157909551637,13.223018000018785
IMG_0056,HHO-VC,4.944156821500463,4.944687352761701,0.0029531616126530964,17.066550599993207
IMG_0057,BDA-EHHO-VC-Calibrated,5.201454990781766,5.202638687230118,0.004093079494555498,11.525962899962906
IMG_0057,BEHHO-VC-Calibrated,5.201041270998196,5.202273646561894,0.003989268193515594,11.460636399977377
IMG_0057,EHHO-VC,5.200729892036741,5.202290468055276,0.004427243943184165,7.033148999966215
IMG_0057,HHO-VC,5.200475140489942,5.20236946898171,0.0043895541817534425,7.824282700021286
IMG_0058,BDA-EHHO-VC-Calibrated,4.999407320975721,5.000751505688837,0.003362815134570849,14.80167870002333
IMG_0058,BEHHO-VC-Calibrated,4.999770616890729,5.0010922751664655,0.003317223195394599,20.506251899991184
IMG_0058,EHHO-VC,4.999058877336475,5.00077119521695,0.0030736564990310323,6.8120564999990165
IMG_0058,HHO-VC,4.999101046552,5.000778134767493,0.0030677303043783145,8.609472799987998
IMG_0059,BDA-EHHO-VC-Calibrated,5.683583882681535,5.682761993230443,0.0028329131025713584,23.2826492000022
IMG_0059,BEHHO-VC-Calibrated,5.683857895295827,5.682779255385456,0.0026150352687418573,23.81755860004341
IMG_0059,EHHO-VC,5.683734676290391,5.68260100956221,0.0025686611035071415,18.54036410001572
IMG_0059,HHO-VC,5.68374179767353,5.68261650400923,0.0026274263611677125,14.290821100003086
IMG_0060,BDA-EHHO-VC-Calibrated,5.288227752950152,5.28801247435287,0.003199235261238115,39.294764399994165
