experiment_id,run_index,archive_file,archive_row,bits,level_R,level_G,level_B,old_f1_reconstruction,old_f2_security,old_f3_robustness,old_f4_complexity
IMG_0015,1,IMG_0015_r1_archive.csv,4,001000100000111000111100,34,14,60,0.4499241156434831,0.3382742808805876,0.0,0.1411764705882353
IMG_0015,1,IMG_0015_r1_archive.csv,5,001100000000110100010001,48,13,17,0.4486780181906786,0.338378418044259,0.0,0.1019607843137254
IMG_0015,1,IMG_0015_r1_archive.csv,6,001000000010101000011000,32,42,24,0.4460910695894365,0.3382983286330825,0.0,0.1281045751633986
IMG_0015,1,IMG_0015_r1_archive.csv,7,000000000000000000000111,2,2,7,0.4855131787201767,0.3387249389289244,0.0,0.0143790849673202
IMG_0015,1,IMG_0015_r1_archive.csv,8,000100010000101000001101,17,10,13,0.4514722785990127,0.3384221410040592,0.0,0.0522875816993464
IMG_0015,1,IMG_0015_r1_archive.csv,9,000100010000110100101001,17,13,41,0.4492757826147212,0.3383257269884483,0.0,0.0928104575163398
IMG_0015,1,IMG_0015_r1_archive.csv,10,000000000000110100000100,2,13,4,0.4744123752059592,0.3382844927778555,0.0,0.0248366013071895
IMG_0015,1,IMG_0015_r1_archive.csv,11,000000000000100000000101,2,8,5,0.4747300523790515,0.3386064321128434,0.0,0.0196078431372549
IMG_0015,1,IMG_0015_r1_archive.csv,12,000010100001010100000110,10,21,6,0.4536276288577165,0.3383987414349014,0.0,0.0483660130718954
IMG_0015,1,IMG_0015_r1_archive.csv,13,000101110100000000000111,23,64,7,0.4505104422331082,0.3381305631448912,0.0,0.122875816993464
IMG_0015,1,IMG_0015_r1_archive.csv,14,000100000010100000000000,16,40,2,0.4606897762167303,0.3383704956102078,0.0,0.0758169934640522
IMG_0015,1,IMG_0015_r1_archive.csv,15,000000100000110100000100,2,13,4,0.4744123752059592,0.3382844927778555,0.0,0.0248366013071895
IMG_0015,1,IMG_0015_r1_archive.csv,16,000100000010100000010100,16,40,20,0.4480918524588285,0.3383897605760341,0.0,0.0993464052287581
IMG_0015,1,IMG_0015_r1_archive.csv,17,000110100100000100111110,26,65,62,0.4499793745222714,0.3382382852432439,0.0,0.2
IMG_0015,1,IMG_0015_r1_archive.csv,18,000101000010100000000000,20,40,2,0.4601005795857524,0.3383321668743888,0.0,0.0810457516339869
IMG_0015,1,IMG_0015_r1_archive.csv,19,000110000011100000100001,24,56,33,0.4460902653005618,0.3382988452461435,0.0,0.1477124183006536
IMG_0015,1,IMG_0015_r1_archive.csv,20,000111000010000100001101,28,33,13,0.4479003639770706,0.3383930102410343,0.0,0.0967320261437908
IMG_0015,1,IMG_0015_r1_archive.csv,21,001000010100000000100001,33,64,33,0.4465840902034027,0.3382950804999345,0.0,0.1699346405228758
IMG_0015,1,IMG_0015_r1_archive.csv,22,000110110100000100111110,27,65,62,0.4502032885449759,0.3381825144776488,0.0,0.2013071895424836
IMG_0015,1,IMG_0015_r1_archive.csv,23,000110000100000100111111,24,65,63,0.4504734026138806,0.3381637705906972,0.0,0.1986928104575163
IMG_0015,1,IMG_0015_r1_archive.csv,24,000110110100000100101010,27,65,42,0.4468950367485438,0.3382649571920667,0.0,0.1751633986928104
IMG_0015,1,IMG_0015_r1_archive.csv,25,000110110000100100101110,27,9,46,0.4511516213239849,0.3383240652532668,0.0,0.1071895424836601
IMG_0015,1,IMG_0015_r1_archive.csv,26,010000010100000000101010,65,64,42,0.4458637182900676,0.3382955260099768,0.0,0.2235294117647059
IMG_0015,1,IMG_0015_r1_archive.csv,27,000010000011100100100000,8,57,32,0.4500489751416246,0.3383100010757445,0.0,0.126797385620915
IMG_0015,2,IMG_0015_r2_archive.csv,0,000110100001101000001001,26,26,9,0.4485990539555847,0.3385818102124713,0.0,0.0797385620915032
IMG_0015,2,IMG_0015_r2_archive.csv,1,000011010001100000100101,13,24,37,0.4476078144816624,0.3386508605096399,0.0,0.0967320261437908
IMG_0015,2,IMG_0015_r2_archive.csv,2,000110000000101100011110,24,11,30,0.4491667887729071,0.3384352667342019,0.0,0.0849673202614379
IMG_0015,2,IMG_0015_r2_archive.csv,3,000110001100000100000011,24,193,3,0.4662467519771145,0.3383209810921765,0.0,0.2875816993464052
IMG_0015,2,IMG_0015_r2_archive.csv,4,000111011011001000110011,29,178,51,0.4560946368222506,0.3382298531686322,0.0,0.3372549019607843
IMG_0015,2,IMG_0015_r2_archive.csv,5,001001000001101000100010,36,26,34,0.4461148765401264,0.3385152907074711,0.0,0.1254901960784313
IMG_0015,2,IMG_0015_r2_archive.csv,6,000000000000010000001110,2,4,14,0.4752447125968453,0.3387541784103094,0.0,0.0261437908496732
IMG_0015,2,IMG_0015_r2_archive.csv,7,000100010001000100010100,17,17,20,0.4487083949115447,0.3384990719584555,0.0,0.0705882352941176
IMG_0015,2,IMG_0015_r2_archive.csv,8,010001100010000000100011,70,32,35,0.4451150946717354,0.3385940167665472,0.0,0.1790849673202614
IMG_0015,2,IMG_0015_r2_archive.csv,9,001011010001100000010011,45,24,19,0.4464368206773536,0.3386965609426717,0.0,0.115032679738562
IMG_0015,2,IMG_0015_r2_archive.csv,10,000000000000100000000000,2,8,2,0.4824282567787402,0.3386046199849723,0.0,0.0156862745098039
IMG_0015,2,IMG_0015_r2_archive.csv,11,000011011011001000110010,13,178,50,0.4578255342101023,0.3382517440798502,0.0,0.3150326797385621
IMG_0015,2,IMG_0015_r2_archive.csv,12,000000000000001100001000,2,3,8,0.4799503020193121,0.3385798011963377,0.0,0.0169934640522875
IMG_0015,2,IMG_0015_r2_archive.csv,13,010010100010000000100001,74,32,33,0.445086182603241,0.3385864717006071,0.0,0.1816993464052287
IMG_0015,2,IMG_0015_r2_archive.csv,14,000000100000100000000000,2,8,2,0.4824282567787402,0.3386046199849723,0.0,0.0156862745098039
IMG_0015,2,IMG_0015_r2_archive.csv,15,010111100000110100101100,94,13,44,0.4499420809170834,0.3384337915418967,0.0,0.1973856209150327
IMG_0015,2,IMG_0015_r2_archive.csv,16,000101100011100000100001,22,56,33,0.4457505929432974,0.3385933884050007,0.0,0.1450980392156863
IMG_0015,2,IMG_0015_r2_archive.csv,17,001010010011111100100111,41,63,39,0.4458079429731598,0.3385439962705533,0.0,0.1869281045751634
IMG_0015,2,IMG_0015_r2_archive.csv,18,010111001110111101011001,92,239,89,0.4676058308513116,0.338192505408222,0.0,0.5490196078431373
IMG_0015,2,IMG_0015_r2_archive.csv,19,001000010100000101010001,33,65,81,0.4520768329143971,0.3384281103455255,0.0,0.2339869281045751
IMG_0015,2,IMG_0015_r2_archive.csv,20,010000111110001100100111,67,227,39,0.4573347740711838,0.3382137998654377,0.0,0.4352941176470588
IMG_0015,2,IMG_0015_r2_archive.csv,21,000000000000001000000000,2,2,2,0.4954992293879207,0.3386248993642423,0.0,0.0078431372549019
IMG_0015,2,IMG_0015_r2_archive.csv,22,000010000000110100100010,8,13,34,0.4522722581785415,0.338410408953042,0.0,0.0718954248366013
IMG_0015,2,IMG_0015_r2_archive.csv,23,011110011011111101001111,121,191,79,0.4657121284628318,0.3381965174698393,0.0,0.5111111111111112
IMG_0015,2,IMG_0015_r2_archive.csv,24,000010000000101100001011,8,11,11,0.4543382646425689,0.3383561206243162,0.0,0.0392156862745098
IMG_0015,2,IMG_0015_r2_archive.csv,25,000111001001010000100111,28,148,39,0.4540436493946826,0.3383866796559975,0.0,0.2810457516339869
IMG_0015,2,IMG_0015_r2_archive.csv,26,000001010001000000000000,5,16,2,0.4675359085164084,0.3387518618503334,0.0,0.0300653594771241
IMG_0015,2,IMG_0015_r2_archive.csv,27,000100000000001100000000,16,3,2,0.4721457452317977,0.3386018179808812,0.0,0.0274509803921568
